IDATid,Sample_ID,SentrixBarcode_A,SentrixPosition_A,File_ID,SNPid,SAMPLE_ID,INVENTORY_SAMPLE_NAME,SampleType,Plate,GreenIDAT,RedIDAT
6317404018_R02C01,Unk448,6317404018,r02c01,_ega-box-147_6317404018_r02c01,WG0118061.DNAG06,636267,PK-59,CellLine,WG0118061,6317404018_r02c01_grn.idat,6317404018_r02c01_red.idat
6317404018_R03C01,Unk449,6317404018,r03c01,_ega-box-147_6317404018_r03c01,WG0118061.DNAF06,636266,PK-45P,CellLine,WG0118061,6317404018_r03c01_grn.idat,6317404018_r03c01_red.idat
6317404018_R04C01,Unk450,6317404018,r04c01,_ega-box-147_6317404018_r04c01,WG0118061.DNAH06,636268,PK-8,CellLine,WG0118061,6317404018_r04c01_grn.idat,6317404018_r04c01_red.idat
6317404019_R01C01,Unk451,6317404019,R01C01,_ega-box-147_6317404019_R01C01,WG0118056.DNAE06,637056,OV-90 (IVCC),CellLine,WG0118056,6317404019_R01C01_Grn.idat,6317404019_R01C01_Red.idat
6317404019_R02C01,Unk452,6317404019,R02C01,_ega-box-147_6317404019_R02C01,WG0118056.DNAG06,637058,PE01,CellLine,WG0118056,6317404019_R02C01_Grn.idat,6317404019_R02C01_Red.idat
6317404019_R03C01,Unk453,6317404019,R03C01,_ega-box-147_6317404019_R03C01,WG0118056.DNAF06,637057,OvCA 432,CellLine,WG0118056,6317404019_R03C01_Grn.idat,6317404019_R03C01_Red.idat
6317404019_R04C01,Unk454,6317404019,R04C01,_ega-box-147_6317404019_R04C01,WG0118056.DNAH06,637059,DU 145,CellLine,WG0118056,6317404019_R04C01_Grn.idat,6317404019_R04C01_Red.idat
6317404020_R01C01,Unk455,6317404020,R01C01,_ega-box-147_6317404020_R01C01,WG0118060.DNAA10,636416,HCC1534,CellLine,WG0118060,6317404020_R01C01_Grn.idat,6317404020_R01C01_Red.idat
6317404020_R02C01,Unk456,6317404020,R02C01,_ega-box-147_6317404020_R02C01,WG0118060.DNAC10,636418,HCC2885,CellLine,WG0118060,6317404020_R02C01_Grn.idat,6317404020_R02C01_Red.idat
6317404020_R03C01,Unk457,6317404020,R03C01,_ega-box-147_6317404020_R03C01,WG0118060.DNAB10,636417,HCC2270,CellLine,WG0118060,6317404020_R03C01_Grn.idat,6317404020_R03C01_Red.idat
6317404020_R04C01,Unk458,6317404020,R04C01,_ega-box-147_6317404020_R04C01,WG0118060.DNAD10,636419,MOR,CellLine,WG0118060,6317404020_R04C01_Grn.idat,6317404020_R04C01_Red.idat
6317404021_R02C01,Unk459,6317404021,R02C01,_ega-box-147_6317404021_R02C01,WG0118060.DNAG11,636432,NCI-H920,CellLine,WG0118060,6317404021_R02C01_Grn.idat,6317404021_R02C01_Red.idat
6317404021_R03C01,Unk460,6317404021,R03C01,_ega-box-147_6317404021_R03C01,WG0118060.DNAF11,636431,NCI-H820,CellLine,WG0118060,6317404021_R03C01_Grn.idat,6317404021_R03C01_Red.idat
6317404022_R01C01,Unk461,6317404022,r01c01,_ega-box-147_6317404022_r01c01,WG0118061.DNAE05,636257,HUP-T4,CellLine,WG0118061,6317404022_r01c01_grn.idat,6317404022_r01c01_red.idat
6317404022_R02C01,Unk462,6317404022,r02c01,_ega-box-147_6317404022_r02c01,WG0118061.DNAG05,636259,KLM-1,CellLine,WG0118061,6317404022_r02c01_grn.idat,6317404022_r02c01_red.idat
6317404022_R03C01,Unk463,6317404022,r03c01,_ega-box-147_6317404022_r03c01,WG0118061.DNAF05,636258,KCI-MOH1,CellLine,WG0118061,6317404022_r03c01_grn.idat,6317404022_r03c01_red.idat
6317404022_R04C01,Unk464,6317404022,r04c01,_ega-box-147_6317404022_r04c01,WG0118061.DNAH05,636260,KP-2,CellLine,WG0118061,6317404022_r04c01_grn.idat,6317404022_r04c01_red.idat
6317404023_R01C01,Unk465,6317404023,r01c01,_ega-box-147_6317404023_r01c01,WG0118061.DNAE04,636249,SUM 1315M02,CellLine,WG0118061,6317404023_r01c01_grn.idat,6317404023_r01c01_red.idat
6317404023_R02C01,Unk466,6317404023,r02c01,_ega-box-147_6317404023_r02c01,WG0118061.DNAG04,636251,SUM 229PE,CellLine,WG0118061,6317404023_r02c01_grn.idat,6317404023_r02c01_red.idat
6317404023_R03C01,Unk467,6317404023,r03c01,_ega-box-147_6317404023_r03c01,WG0118061.DNAF04,636250,SUM 149PT,CellLine,WG0118061,6317404023_r03c01_grn.idat,6317404023_r03c01_red.idat
6317404023_R04C01,Unk468,6317404023,r04c01,_ega-box-147_6317404023_r04c01,WG0118061.DNAH04,636252,SUM 159PT,CellLine,WG0118061,6317404023_r04c01_grn.idat,6317404023_r04c01_red.idat
6317404024_R03C01,Unk469,6317404024,r03c01,_ega-box-147_6317404024_r03c01,WG0118061.DNAB03,636238,RERF-LC-OK,CellLine,WG0118061,6317404024_r03c01_grn.idat,6317404024_r03c01_red.idat
6317404025_R01C01,Unk470,6317404025,r01c01,_ega-box-147_6317404025_r01c01,WG0118061.DNAA05,636253,SUM 52PE,CellLine,WG0118061,6317404025_r01c01_grn.idat,6317404025_r01c01_red.idat
6317404025_R02C01,Unk471,6317404025,r02c01,_ega-box-147_6317404025_r02c01,WG0118061.DNAC05,636255,BxPC-3 (IVCC),CellLine,WG0118061,6317404025_r02c01_grn.idat,6317404025_r02c01_red.idat
6317404025_R03C01,Unk472,6317404025,r03c01,_ega-box-147_6317404025_r03c01,WG0118061.DNAB05,636254,YMB-1,CellLine,WG0118061,6317404025_r03c01_grn.idat,6317404025_r03c01_red.idat
6317404025_R04C01,Unk473,6317404025,r04c01,_ega-box-147_6317404025_r04c01,WG0118061.DNAD05,636256,DAN-G,CellLine,WG0118061,6317404025_r04c01_grn.idat,6317404025_r04c01_red.idat
6317404026_R01C01,Unk474,6317404026,R01C01,_ega-box-147_6317404026_R01C01,WG0118060.DNAE07,637158,IGR-37,CellLine,WG0118060,6317404026_R01C01_Grn.idat,6317404026_R01C01_Red.idat
6317404026_R02C01,Unk475,6317404026,R02C01,_ega-box-147_6317404026_R02C01,WG0118060.DNAG07,637160,JHH-4,CellLine,WG0118060,6317404026_R02C01_Grn.idat,6317404026_R02C01_Red.idat
6317404026_R03C01,Unk476,6317404026,R03C01,_ega-box-147_6317404026_R03C01,WG0118060.DNAF07,637159,JHH-1,CellLine,WG0118060,6317404026_R03C01_Grn.idat,6317404026_R03C01_Red.idat
6317404026_R04C01,Unk477,6317404026,R04C01,_ega-box-147_6317404026_R04C01,WG0118060.DNAH07,637161,KU812,CellLine,WG0118060,6317404026_R04C01_Grn.idat,6317404026_R04C01_Red.idat
6317404027_R01C01,Unk478,6317404027,R01C01,_ega-box-147_6317404027_R01C01,WG0118064.DNAA11,636395,HCC12,CellLine,WG0118064,6317404027_R01C01_Grn.idat,6317404027_R01C01_Red.idat
6317404027_R02C01,Unk479,6317404027,R02C01,_ega-box-147_6317404027_R02C01,WG0118064.DNAC11,636397,COV362,CellLine,WG0118064,6317404027_R02C01_Grn.idat,6317404027_R02C01_Red.idat
6317404027_R03C01,Unk480,6317404027,R03C01,_ega-box-147_6317404027_R03C01,WG0118064.DNAB11,636396,HCC89,CellLine,WG0118064,6317404027_R03C01_Grn.idat,6317404027_R03C01_Red.idat
6317404027_R04C01,Unk481,6317404027,R04C01,_ega-box-147_6317404027_R04C01,WG0118064.DNAD11,636398,COV413A,CellLine,WG0118064,6317404027_R04C01_Grn.idat,6317404027_R04C01_Red.idat
6317404030_R01C01,Unk482,6317404030,R01C01,_ega-box-147_6317404030_R01C01,WG0118060.DNAE08,637166,UMC-11,CellLine,WG0118060,6317404030_R01C01_Grn.idat,6317404030_R01C01_Red.idat
6317404030_R04C01,Unk483,6317404030,R04C01,_ega-box-147_6317404030_R04C01,WG0118060.DNAH08,637169,HCC461,CellLine,WG0118060,6317404030_R04C01_Grn.idat,6317404030_R04C01_Red.idat
6317404031_R01C01,Unk484,6317404031,R01C01,_ega-box-147_6317404031_R01C01,WG0118064.DNAE01,636319,JJ012,CellLine,WG0118064,6317404031_R01C01_Grn.idat,6317404031_R01C01_Red.idat
6317404031_R02C01,Unk485,6317404031,R02C01,_ega-box-147_6317404031_R02C01,WG0118064.DNAG01,636321,Ca Ski,CellLine,WG0118064,6317404031_R02C01_Grn.idat,6317404031_R02C01_Red.idat
6317404031_R03C01,Unk486,6317404031,R03C01,_ega-box-147_6317404031_R03C01,WG0118064.DNAF01,636320,LS1034,CellLine,WG0118064,6317404031_R03C01_Grn.idat,6317404031_R03C01_Red.idat
6317404031_R04C01,Unk487,6317404031,R04C01,_ega-box-147_6317404031_R04C01,WG0118064.DNAH01,636322,HeLa,CellLine,WG0118064,6317404031_R04C01_Grn.idat,6317404031_R04C01_Red.idat
6317404032_R01C01,Unk488,6317404032,r01c01,_ega-box-147_6317404032_r01c01,WG0118061.DNAE03,636241,EFM-192B,CellLine,WG0118061,6317404032_r01c01_grn.idat,6317404032_r01c01_red.idat
6317404032_R02C01,Unk489,6317404032,r02c01,_ega-box-147_6317404032_r02c01,WG0118061.DNAG03,636243,HCC2911 (UTSW),CellLine,WG0118061,6317404032_r02c01_grn.idat,6317404032_r02c01_red.idat
6317404032_R03C01,Unk490,6317404032,r03c01,_ega-box-147_6317404032_r03c01,WG0118061.DNAF03,636242,HBL-100,CellLine,WG0118061,6317404032_r03c01_grn.idat,6317404032_r03c01_red.idat
6317404032_R04C01,Unk491,6317404032,r04c01,_ega-box-147_6317404032_r04c01,WG0118061.DNAH03,636244,MDA-MB-134-VI (ATCC),CellLine,WG0118061,6317404032_r04c01_grn.idat,6317404032_r04c01_red.idat
6317404034_R01C01,Unk492,6317404034,R01C01,_ega-box-147_6317404034_R01C01,WG0118060.DNAA08,637162,SET-2,CellLine,WG0118060,6317404034_R01C01_Grn.idat,6317404034_R01C01_Red.idat
6317404034_R02C01,Unk493,6317404034,R02C01,_ega-box-147_6317404034_R02C01,WG0118060.DNAC08,637164,SNU-182,CellLine,WG0118060,6317404034_R02C01_Grn.idat,6317404034_R02C01_Red.idat
6317404034_R03C01,Unk494,6317404034,R03C01,_ega-box-147_6317404034_R03C01,WG0118060.DNAB08,637163,SK-N-SH,CellLine,WG0118060,6317404034_R03C01_Grn.idat,6317404034_R03C01_Red.idat
6317404034_R04C01,Unk495,6317404034,R04C01,_ega-box-147_6317404034_R04C01,WG0118060.DNAD08,637165,UKE-1,CellLine,WG0118060,6317404034_R04C01_Grn.idat,6317404034_R04C01_Red.idat
6317404035_R01C01,Unk496,6317404035,R01C01,_ega-box-147_6317404035_R01C01,WG0118056.DNAA08,637068,LOX-IMVI (IVCC),CellLine,WG0118056,6317404035_R01C01_Grn.idat,6317404035_R01C01_Red.idat
6317404035_R02C01,Unk497,6317404035,R02C01,_ega-box-147_6317404035_R02C01,WG0118056.DNAC08,637070,SNU-216,CellLine,WG0118056,6317404035_R02C01_Grn.idat,6317404035_R02C01_Red.idat
6317404035_R03C01,Unk498,6317404035,R03C01,_ega-box-147_6317404035_R03C01,WG0118056.DNAB08,637069,MeWo,CellLine,WG0118056,6317404035_R03C01_Grn.idat,6317404035_R03C01_Red.idat
6317404035_R04C01,Unk499,6317404035,R04C01,_ega-box-147_6317404035_R04C01,WG0118056.DNAD08,637071,SNU-484,CellLine,WG0118056,6317404035_R04C01_Grn.idat,6317404035_R04C01_Red.idat
6317404037_R01C01,Unk500,6317404037,R01C01,_ega-box-147_6317404037_R01C01,WG0118060.DNAA07,637154,GR-M,CellLine,WG0118060,6317404037_R01C01_Grn.idat,6317404037_R01C01_Red.idat
6317404037_R02C01,Unk501,6317404037,R02C01,_ega-box-147_6317404037_R02C01,WG0118060.DNAC07,637156,HGC-27,CellLine,WG0118060,6317404037_R02C01_Grn.idat,6317404037_R02C01_Red.idat
6317404037_R03C01,Unk502,6317404037,R03C01,_ega-box-147_6317404037_R03C01,WG0118060.DNAB07,637155,HCC1576,CellLine,WG0118060,6317404037_R03C01_Grn.idat,6317404037_R03C01_Red.idat
6317404037_R04C01,Unk503,6317404037,R04C01,_ega-box-147_6317404037_R04C01,WG0118060.DNAD07,637157,HMY-1,CellLine,WG0118060,6317404037_R04C01_Grn.idat,6317404037_R04C01_Red.idat
6317404038_R01C01,Unk504,6317404038,R01C01,_ega-box-147_6317404038_R01C01,WG0118064.DNAA03,636331,HCA-7,CellLine,WG0118064,6317404038_R01C01_Grn.idat,6317404038_R01C01_Red.idat
6317404038_R02C01,Unk505,6317404038,R02C01,_ega-box-147_6317404038_R02C01,WG0118064.DNAC03,636333,HM7,CellLine,WG0118064,6317404038_R02C01_Grn.idat,6317404038_R02C01_Red.idat
6317404038_R03C01,Unk506,6317404038,R03C01,_ega-box-147_6317404038_R03C01,WG0118064.DNAB03,636332,HCT 116 (IVCC),CellLine,WG0118064,6317404038_R03C01_Grn.idat,6317404038_R03C01_Red.idat
6317404038_R04C01,Unk507,6317404038,R04C01,_ega-box-147_6317404038_R04C01,WG0118064.DNAD03,636334,HT-29 (IVCC),CellLine,WG0118064,6317404038_R04C01_Grn.idat,6317404038_R04C01_Red.idat
6317404039_R01C01,Unk508,6317404039,r01c01,_ega-box-147_6317404039_r01c01,WG0118061.DNAE02,636233,NCI-H2228,CellLine,WG0118061,6317404039_r01c01_grn.idat,6317404039_r01c01_red.idat
6317404039_R02C01,Unk509,6317404039,r02c01,_ega-box-147_6317404039_r02c01,WG0118061.DNAG02,636235,NCI-H522,CellLine,WG0118061,6317404039_r02c01_grn.idat,6317404039_r02c01_red.idat
6317404039_R04C01,Unk510,6317404039,r04c01,_ega-box-147_6317404039_r04c01,WG0118061.DNAH02,636236,NCI-H596,CellLine,WG0118061,6317404039_r04c01_grn.idat,6317404039_r04c01_red.idat
6317404041_R01C01,Unk511,6317404041,R01C01,_ega-box-147_6317404041_R01C01,WG0118064.DNAE06,636359,DV-90,CellLine,WG0118064,6317404041_R01C01_Grn.idat,6317404041_R01C01_Red.idat
6317404041_R02C01,Unk512,6317404041,R02C01,_ega-box-147_6317404041_R02C01,WG0118064.DNAG06,636361,HCC44,CellLine,WG0118064,6317404041_R02C01_Grn.idat,6317404041_R02C01_Red.idat
6317404041_R03C01,Unk513,6317404041,R03C01,_ega-box-147_6317404041_R03C01,WG0118064.DNAF06,636360,EPLC-272H,CellLine,WG0118064,6317404041_R03C01_Grn.idat,6317404041_R03C01_Red.idat
6317404041_R04C01,Unk514,6317404041,R04C01,_ega-box-147_6317404041_R04C01,WG0118064.DNAH06,636362,HCC78,CellLine,WG0118064,6317404041_R04C01_Grn.idat,6317404041_R04C01_Red.idat
6317404043_R01C01,Unk515,6317404043,R01C01,_ega-box-147_6317404043_R01C01,WG0118056.DNAE07,637064,SJCRH30,CellLine,WG0118056,6317404043_R01C01_Grn.idat,6317404043_R01C01_Red.idat
6317404043_R02C01,Unk516,6317404043,R02C01,_ega-box-147_6317404043_R02C01,WG0118056.DNAG07,637066,COLO-818,CellLine,WG0118056,6317404043_R02C01_Grn.idat,6317404043_R02C01_Red.idat
6317404043_R03C01,Unk517,6317404043,R03C01,_ega-box-147_6317404043_R03C01,WG0118056.DNAF07,637065,A-431,CellLine,WG0118056,6317404043_R03C01_Grn.idat,6317404043_R03C01_Red.idat
6317404043_R04C01,Unk518,6317404043,R04C01,_ega-box-147_6317404043_R04C01,WG0118056.DNAH07,637067,Hs 69ST,CellLine,WG0118056,6317404043_R04C01_Grn.idat,6317404043_R04C01_Red.idat
6317404044_R01C01,Unk519,6317404044,R01C01,_ega-box-147_6317404044_R01C01,WG0118064.DNAE04,636343,HN,CellLine,WG0118064,6317404044_R01C01_Grn.idat,6317404044_R01C01_Red.idat
6317404044_R02C01,Unk520,6317404044,R02C01,_ega-box-147_6317404044_R02C01,WG0118064.DNAG04,636345,RT4,CellLine,WG0118064,6317404044_R02C01_Grn.idat,6317404044_R02C01_Red.idat
6317404044_R03C01,Unk521,6317404044,R03C01,_ega-box-147_6317404044_R03C01,WG0118064.DNAF04,636344,RT-112,CellLine,WG0118064,6317404044_R03C01_Grn.idat,6317404044_R03C01_Red.idat
6317404044_R04C01,Unk522,6317404044,R04C01,_ega-box-147_6317404044_R04C01,WG0118064.DNAH04,636346,ACHN,CellLine,WG0118064,6317404044_R04C01_Grn.idat,6317404044_R04C01_Red.idat
6317404045_R01C01,Unk523,6317404045,R01C01,_ega-box-147_6317404045_R01C01,WG0118060.DNAE04,637134,NCI-H1930,CellLine,WG0118060,6317404045_R01C01_Grn.idat,6317404045_R01C01_Red.idat
6317404045_R02C01,Unk524,6317404045,R02C01,_ega-box-147_6317404045_R02C01,WG0118060.DNAG04,637136,NCI-H2171,CellLine,WG0118060,6317404045_R02C01_Grn.idat,6317404045_R02C01_Red.idat
6317404045_R03C01,Unk525,6317404045,R03C01,_ega-box-147_6317404045_R03C01,WG0118060.DNAF04,637135,NCI-H209,CellLine,WG0118060,6317404045_R03C01_Grn.idat,6317404045_R03C01_Red.idat
6317404045_R04C01,Unk526,6317404045,R04C01,_ega-box-147_6317404045_R04C01,WG0118060.DNAH04,637137,NCI-H345,CellLine,WG0118060,6317404045_R04C01_Grn.idat,6317404045_R04C01_Red.idat
6317404047_R02C01,Unk527,6317404047,R02C01,_ega-box-147_6317404047_R02C01,WG0118056.DNAC07,637062,SW837,CellLine,WG0118056,6317404047_R02C01_Grn.idat,6317404047_R02C01_Red.idat
6317404047_R03C01,Unk528,6317404047,R03C01,_ega-box-147_6317404047_R03C01,WG0118056.DNAB07,637061,PC-3,CellLine,WG0118056,6317404047_R03C01_Grn.idat,6317404047_R03C01_Red.idat
6317404047_R04C01,Unk529,6317404047,R04C01,_ega-box-147_6317404047_R04C01,WG0118056.DNAD07,637063,RPMI 2650,CellLine,WG0118056,6317404047_R04C01_Grn.idat,6317404047_R04C01_Red.idat
6317404048_R01C01,Unk530,6317404048,r01c01,_ega-box-147_6317404048_r01c01,WG0118061.DNAE01,636225,U266B1,CellLine,WG0118061,6317404048_r01c01_grn.idat,6317404048_r01c01_red.idat
6317404048_R02C01,Unk531,6317404048,r02c01,_ega-box-147_6317404048_r02c01,WG0118061.DNAG01,636227,HCC2279,CellLine,WG0118061,6317404048_r02c01_grn.idat,6317404048_r02c01_red.idat
6317404048_R04C01,Unk532,6317404048,r04c01,_ega-box-147_6317404048_r04c01,WG0118061.DNAH01,636228,HCC4006,CellLine,WG0118061,6317404048_r04c01_grn.idat,6317404048_r04c01_red.idat
6317404052_R02C01,Unk533,6317404052,R02C01,_ega-box-147_6317404052_R02C01,WG0118056.DNAG08,637074,SNU-668,CellLine,WG0118056,6317404052_R02C01_Grn.idat,6317404052_R02C01_Red.idat
6317404052_R03C01,Unk534,6317404052,R03C01,_ega-box-147_6317404052_R03C01,WG0118056.DNAF08,637073,SNU-638,CellLine,WG0118056,6317404052_R03C01_Grn.idat,6317404052_R03C01_Red.idat
6317404052_R04C01,Unk535,6317404052,R04C01,_ega-box-147_6317404052_R04C01,WG0118056.DNAH08,637075,NTERA-2,CellLine,WG0118056,6317404052_R04C01_Grn.idat,6317404052_R04C01_Red.idat
6317404057_R01C01,Unk536,6317404057,R01C01,_ega-box-147_6317404057_R01C01,WG0118064.DNAA02,636323,HEp-2,CellLine,WG0118064,6317404057_R01C01_Grn.idat,6317404057_R01C01_Red.idat
6317404057_R02C01,Unk537,6317404057,R02C01,_ega-box-147_6317404057_R02C01,WG0118064.DNAC02,636325,MS751,CellLine,WG0118064,6317404057_R02C01_Grn.idat,6317404057_R02C01_Red.idat
6317404057_R03C01,Unk538,6317404057,R03C01,_ega-box-147_6317404057_R03C01,WG0118064.DNAB02,636324,ME-180,CellLine,WG0118064,6317404057_R03C01_Grn.idat,6317404057_R03C01_Red.idat
6317404057_R04C01,Unk539,6317404057,R04C01,_ega-box-147_6317404057_R04C01,WG0118064.DNAD02,636326,SiHa,CellLine,WG0118064,6317404057_R04C01_Grn.idat,6317404057_R04C01_Red.idat
6317404058_R01C01,Unk540,6317404058,R01C01,_ega-box-147_6317404058_R01C01,WG0118060.DNAE02,637118,DU4475,CellLine,WG0118060,6317404058_R01C01_Grn.idat,6317404058_R01C01_Red.idat
6317404058_R02C01,Unk541,6317404058,R02C01,_ega-box-147_6317404058_R02C01,WG0118060.DNAG02,637120,YMB-1-E,CellLine,WG0118060,6317404058_R02C01_Grn.idat,6317404058_R02C01_Red.idat
6317404058_R03C01,Unk542,6317404058,R03C01,_ega-box-147_6317404058_R03C01,WG0118060.DNAF02,637119,EFM-192C,CellLine,WG0118060,6317404058_R03C01_Grn.idat,6317404058_R03C01_Red.idat
6317404058_R04C01,Unk543,6317404058,R04C01,_ega-box-147_6317404058_R04C01,WG0118060.DNAH02,637121,NCI-H716,CellLine,WG0118060,6317404058_R04C01_Grn.idat,6317404058_R04C01_Red.idat
6317404060_R01C01,Unk544,6317404060,R01C01,_ega-box-147_6317404060_R01C01,WG0118060.DNAE03,637126,HCC366,CellLine,WG0118060,6317404060_R01C01_Grn.idat,6317404060_R01C01_Red.idat
6317404060_R02C01,Unk545,6317404060,R02C01,_ega-box-147_6317404060_R02C01,WG0118060.DNAG03,637128,LOU-NH91,CellLine,WG0118060,6317404060_R02C01_Grn.idat,6317404060_R02C01_Red.idat
6317404060_R04C01,Unk546,6317404060,R04C01,_ega-box-147_6317404060_R04C01,WG0118060.DNAH03,637129,NCI-H1395,CellLine,WG0118060,6317404060_R04C01_Grn.idat,6317404060_R04C01_Red.idat
6317404061_R01C01,Unk547,6317404061,R01C01,_ega-box-147_6317404061_R01C01,WG0118064.DNAE08,636375,HCC60,CellLine,WG0118064,6317404061_R01C01_Grn.idat,6317404061_R01C01_Red.idat
6317404061_R02C01,Unk548,6317404061,R02C01,_ega-box-147_6317404061_R02C01,WG0118064.DNAG08,636377,A-375,CellLine,WG0118064,6317404061_R02C01_Grn.idat,6317404061_R02C01_Red.idat
6317404061_R03C01,Unk549,6317404061,R03C01,_ega-box-147_6317404061_R03C01,WG0118064.DNAF08,636376,PA-1,CellLine,WG0118064,6317404061_R03C01_Grn.idat,6317404061_R03C01_Red.idat
6317404061_R04C01,Unk550,6317404061,R04C01,_ega-box-147_6317404061_R04C01,WG0118064.DNAH08,636378,Hs 294T,CellLine,WG0118064,6317404061_R04C01_Grn.idat,6317404061_R04C01_Red.idat
6317404062_R01C01,Unk551,6317404062,R01C01,_ega-box-147_6317404062_R01C01,WG0118064.DNAA10,636387,UM-UC-3,CellLine,WG0118064,6317404062_R01C01_Grn.idat,6317404062_R01C01_Red.idat
6317404062_R02C01,Unk552,6317404062,R02C01,_ega-box-147_6317404062_R02C01,WG0118064.DNAC10,636389,MHH-NB-11,CellLine,WG0118064,6317404062_R02C01_Grn.idat,6317404062_R02C01_Red.idat
6317404062_R04C01,Unk553,6317404062,R04C01,_ega-box-147_6317404062_R04C01,WG0118064.DNAD10,636390,ATRFLOX,CellLine,WG0118064,6317404062_R04C01_Grn.idat,6317404062_R04C01_Red.idat
6317404068_R01C01,Unk554,6317404068,R01C01,_ega-box-147_6317404068_R01C01,WG0118064.DNAE10,636391,SW1417,CellLine,WG0118064,6317404068_R01C01_Grn.idat,6317404068_R01C01_Red.idat
6317404068_R02C01,Unk555,6317404068,R02C01,_ega-box-147_6317404068_R02C01,WG0118064.DNAG10,636393,CAL 54,CellLine,WG0118064,6317404068_R02C01_Grn.idat,6317404068_R02C01_Red.idat
6317404068_R03C01,Unk556,6317404068,R03C01,_ega-box-147_6317404068_R03C01,WG0118064.DNAF10,636392,Caki-1,CellLine,WG0118064,6317404068_R03C01_Grn.idat,6317404068_R03C01_Red.idat
6317404068_R04C01,Unk557,6317404068,R04C01,_ega-box-147_6317404068_R04C01,WG0118064.DNAH10,636394,HCC1011,CellLine,WG0118064,6317404068_R04C01_Grn.idat,6317404068_R04C01_Red.idat
6317404069_R02C01,Unk558,6317404069,R02C01,_ega-box-147_6317404069_R02C01,WG0118064.DNAC12,636404,SK-MEL-24,CellLine,WG0118064,6317404069_R02C01_Grn.idat,6317404069_R02C01_Red.idat
6317404069_R03C01,Unk559,6317404069,R03C01,_ega-box-147_6317404069_R03C01,WG0118064.DNAB12,636403,COLO-783,CellLine,WG0118064,6317404069_R03C01_Grn.idat,6317404069_R03C01_Red.idat
6317404069_R04C01,Unk560,6317404069,R04C01,_ega-box-147_6317404069_R04C01,WG0118064.DNAD12,636405,BICR 31,CellLine,WG0118064,6317404069_R04C01_Grn.idat,6317404069_R04C01_Red.idat
6317404071_R01C01,Unk561,6317404071,R01C01,_ega-box-147_6317404071_R01C01,WG0118060.DNAA11,636424,NCI-H1915,CellLine,WG0118060,6317404071_R01C01_Grn.idat,6317404071_R01C01_Red.idat
6317404073_R01C01,Unk562,6317404073,r01c01,_ega-box-147_6317404073_r01c01,WG0118061.DNAE10,636297,G22,CellLine,WG0118061,6317404073_r01c01_grn.idat,6317404073_r01c01_red.idat
6317404073_R02C01,Unk563,6317404073,R02C01,_ega-box-147_6317404073_R02C01,WG0118064.DNAB01,636316,MT-3,CellLine,WG0118064,6317404073_R02C01_Grn.idat,6317404073_R02C01_Red.idat
6317404073_R03C01,Unk564,6317404073,r03c01,_ega-box-147_6317404073_r03c01,WG0118061.DNAE12,636312,SK-N-DZ,CellLine,WG0118061,6317404073_r03c01_grn.idat,6317404073_r03c01_red.idat
6317404073_R04C01,Unk565,6317404073,R04C01,_ega-box-147_6317404073_R04C01,WG0118064.DNAC01,636317,SW 982,CellLine,WG0118064,6317404073_R04C01_Grn.idat,6317404073_R04C01_Red.idat
6317404074_R01C01,Unk566,6317404074,R01C01,_ega-box-147_6317404074_R01C01,WG0118064.DNAA04,636339,SNU-C1,CellLine,WG0118064,6317404074_R01C01_Grn.idat,6317404074_R01C01_Red.idat
6317404074_R02C01,Unk567,6317404074,R02C01,_ega-box-147_6317404074_R02C01,WG0118064.DNAC04,636341,BHY,CellLine,WG0118064,6317404074_R02C01_Grn.idat,6317404074_R02C01_Red.idat
6317404074_R03C01,Unk568,6317404074,R03C01,_ega-box-147_6317404074_R03C01,WG0118064.DNAB04,636340,SW620,CellLine,WG0118064,6317404074_R03C01_Grn.idat,6317404074_R03C01_Red.idat
6317404074_R04C01,Unk569,6317404074,R04C01,_ega-box-147_6317404074_R04C01,WG0118064.DNAD04,636342,FaDu,CellLine,WG0118064,6317404074_R04C01_Grn.idat,6317404074_R04C01_Red.idat
6317404079_R02C01,Unk570,6317404079,R02C01,_ega-box-147_6317404079_R02C01,WG0118064.DNAG09,636385,BICR 22,CellLine,WG0118064,6317404079_R02C01_Grn.idat,6317404079_R02C01_Red.idat
6317404080_R01C01,Unk571,6317404080,R01C01,_ega-box-147_6317404080_R01C01,WG0118056.DNAA03,637028,G-402,CellLine,WG0118056,6317404080_R01C01_Grn.idat,6317404080_R01C01_Red.idat
6317404080_R02C01,Unk572,6317404080,R02C01,_ega-box-147_6317404080_R02C01,WG0118056.DNAC03,637030,HUH-7,CellLine,WG0118056,6317404080_R02C01_Grn.idat,6317404080_R02C01_Red.idat
6317404080_R03C01,Unk573,6317404080,R03C01,_ega-box-147_6317404080_R03C01,WG0118056.DNAB03,637029,TK-10,CellLine,WG0118056,6317404080_R03C01_Grn.idat,6317404080_R03C01_Red.idat
6317404080_R04C01,Unk574,6317404080,R04C01,_ega-box-147_6317404080_R04C01,WG0118056.DNAD03,637031,JHH-2,CellLine,WG0118056,6317404080_R04C01_Grn.idat,6317404080_R04C01_Red.idat
6317404081_R01C01,Unk575,6317404081,R01C01,_ega-box-147_6317404081_R01C01,WG0118064.DNAA09,636379,SK23,CellLine,WG0118064,6317404081_R01C01_Grn.idat,6317404081_R01C01_Red.idat
